VAR00004,q_5,VAR00001,q_6,q_7_score,q_8_score,q_9_score,q_10_score,q_11,q_12,q_12b,q_13_score,q_13_other,q_14_score,VAR00005,q_14_other,q_17_score,q_18,VAR00002,q_19a,q_19_0,q_19_1,q_19_2,q_19_3,q_19_4,q_19_5,q_19_6,q_19_7,q_19_8,q_19_9,VAR00003,q_fpxariert0,q_kanzenfjky,q_d3ivlmburb,q_3fueexkvwl,q_gakkxsofac,q_m2mvnd3r3r,q_fof2icttp0,q_ltutldrmhs,q_vt5wjrmxtg,q_4krhg77tje,q_kjkgzndrkt,q_ussvigksso,q_pvmuguroil,q_iz72txtptb,q_q2lihromvi,q_nfqulptv5t,q_5hqxgfdsfd,q_ospzhucp62,q_rkvsunpe6t,q_a8bqwufqm6,q_dmodwr41os,q_22_score,q_22_other,q_22b_score,q_22b_other,q_23,will_email_increase_coded,qualification,q_24,changes_in_behaviour_coded,q_25,changes_in_tech_coded,q_26,working_relationships_coded,additional_coding,q_1_score,q_2_score,q_2_other,q_3_score,q_4_score,q_ltejt7zene_score,q_nbqxn6dawh,Policy_coded,filter_$
Not everybody reads them,13,Quick way to get important messages across to the team,1,5,1,5,2,178,10,20,1,7,1,"Yes, there is always the time factor.",1,1,50,Blanket emails can be a waste of time if the information is not always relevant to everyone.,2, ,2, , ,5, ,7,8,9, ,Constantly asked for similar information form diffeent sources.,9,7.5,10,9.8,8.6, ,5.8,3.7,2.4,5,8,5.7,9.6,7.2,8.5,6,1,6,5.2, ,6.9,2, , , ,Yes,1,0,"Interesting, not sure it is at the moment the quickest way to get the message across.",99,no,99,OPen door policy where staff can discuss email content.,2, ,2,2,55,4,2,2,Appropriate content and tone of email.,6,1
There is an unrealistic expectation that I will be sitting at my desk waiting to respond to emails. There is an excessive volume of email trasffic that is no longer manageable.,12,"Low environmental impact and faster response time. Also, clear record of waht has been sent/recieved.",2,3,1,6,2,179, , ,1,2,1,I appreciate the time and effort required to respond appropriately and try to do this via meetings where possible.,1,2,40,My organistion sends many emails to all staff which are often irrelevant to me. I spend much time trying to identify the appropriate reciprient of an email as they tend to be copied to me as a manager to sort out.,2,1,2,3,4,5,6,7,8,9, ,"As previously answered. Also, some managers copy senior managers into emails as a way of (in their view at least) absolving all responsibility for the issue they are emailing about.",3, ,9,3,4,2,2,9,2,6,9,9,9,7,9,7,2,9,2,7,8,2, ,2, ,"Yes, exponentially until the organistion is no longer to cope. A colleague recently told me that some high profile instrustrialist are no longer using email on the basis of it being unmanageable. I regularly clear my emails before going to a morning meeting, only to find I have 40 or so emails when I return to my desk.",3,2,I honestly don't believe you will change people's behaviour. I think organistions will need mail rooms (virtual or otherwise) to filter out the trivial emails.,99,None that I'm aware of.,99,One where you can be honest with one another.,2, ,2,2,55,4,1,3,None that I am aware of.,99,0
"It has reduced the amount of face to face contact, some people use this now instead of actually going to the next office to ask a question. Also too much junk mail is sent.",4,"if you are unable to contact someone on the phone you can leave a message through the email.<br/>It is also a good tool fro sending information quickly, the post is rtooslow.",4,4,1,3,2,120,15,15,2,98,1,I ttry to limit how much I send or I know it won't be read!,4,1, , ,99, , , , ,5,6, , , , ,If something is wrong then it iws easier to put something in an email rather than face you to discuss this or say sorry!,5,8.8,7.4,8.3,9,6.2,6.5,2.8,5,10,8,8.2,9.1,7.3,8,3.9,3.8,4,3.8,9.1,3.8,2, , , ,Yes,1,0,By looking at the content and realising the effect it has on colleagues in the company.<br/>Training,2,no,99,You are able to communicate on a first name term with the other person. That the email system works for both of you. That in some circumstances you have picked up the phone and spoken to them or asked if they are happy to communicate through email.,2, ,2,3,8,4,2,1,For me they prevent abusive emails being sent.,8,1
Misunderstandings can occur (cannot use or hear tone of voice). Lack of personal interaction. Emails often used as a perceived way of absolving responsibility.,11,Accessibility (work / home / phone). Sending info to multiple people / organisations. Relatively effort free compared to letters / phonecall.,4,2,1,3,2,90,20,20,2,96,1,Is this something that needs to be said face-to-face or via phone,4,2,30,"Reading, dealing and respondng to issues that could have been more quickly dealt with face-to-face or via phone / skype",7, , , , ,5,6,7,8,9, ,Sent by the sender to avoid face-to-face,5,5,8,9,9,5,8,8,8,10,9, , , , , , , , , , ,2, , , ,Yes,1,0, ,0, ,99, ,99, ,2,3,8,3,1,3,Trying to ensure I adhere to the Welsh language Policy i.e. email signature is bilingual,6,1
"Too much useless information mass emailed by people, meaning potentially important information gets lost in the clutter.<br/>Emails not always regularly picked up by the recipient fast enough.",3,Direct contact with people and a good way of leaving a message if they are unavailable by phone.,4,1,3,1,1,40,10,20,2,98,1,I don't mass send emails unless I believe all recipients to be relevant.,1,1, , ,99, , , , , , , ,8,9, ,"I often will recieve emails which are simply emailed out to all staff members without any consideration of whether it is meaningful to the staff or not. This multiplies any time wasted from one person, who should consider the content and send it out to relevant heads of school or staff, to every person who recieves the email and has to scan and dismiss the email.",8,8,9,7.8,3.9,9,10,6.4,7.1,9.6,9.1,5.1,7,10,2.4,4.6,8.9,4.7,4.8,10,3.9,2, , , ,"I don't think it will grow much, I think it has plateaued in the last few years.",4,11,"I use groups to ensure that I send out emails to specific relevant people, when I do have to send out an email to multiple users. Other users should take some time out to create their own groups and this will assist them in being more efficient with their email usage.<br/><br/>People need to also be more aware of email clients and their use rather than just accessing emails through a web interface.",1,N/A,99,"The ability to relax around each other, and be honest without fear of causing offence.",2, ,2,4,34,2,1,3,"I couldn't really name one, but I assume they are along the lines of don't send anything silly, so I tend not to send any jokes!",99,0
 ,99, ,99,3,1,3,2,42,20,20,2,50,1, ,99,1, , ,99, , , , ,5,6,7,8,9, , ,99,5.7,5.2,9.1,3.5,6.4,5.6,4,6.3,8.4,5,3,10,8.3,7.9,6,6,6.6,5,3,4.9,2, , , ,Yes,1,0,Yes,0,Can be slow and can crash.,3, ,99, ,2,3,11,2,1,1, ,99,0
"Lack of personal interaction, messages can me misunderstood/misconstrued if tone not correct, some people do not see checking and responding to emails as part of their job and more an additional option or a hindrance.",4,"Being able to put details in black and white, if the matter's not urgent it allows the recipient to read at their convenience and refer back to, allows more time to think about the message.",2,5,1,6,2,150,20,30,1,5,1,"I try not to clutter inboxes with large files, if the topic is potentially sensitive I will try and call first to set the right tone",1,2,30,"Drafting and rewriting messages to ensure tone is right when a phone call would be easier - however, people are rarely available by phone.",4, ,2,3,4, ,6, , , , ,People are happy to put into emails what they wouldn't necessarily say in person.  One individual is agressive in email but on next speaking to them they are completely amiable.,5,6,6.2,8.5,6.4,2.6,6.4,7.8,4,9.1,7.1,5.2,6.4,8.8,9.2,9.5,4.1,6.3,3.2,9,7.3,2, , , ,"Yes, or other electronic means of communication",3,3,"Only copy people in if they need to be aware or take action/Make sure releavtn people are copied in (if they were included in original circulation, didn't need to take action but need to know that action is being taken)",1, ,99,"One that is productive, two way and working towards the same objectives in a positive and professional manner.",8, ,2,2,55,3,2,2,Depends on relationship with recipient - if you're friendly it's acceptable to use a more relaxed tone with emoticons (which is agaist college policy but a growing trend in society generally).,6,1
With e-mail available on multiple devices switching off from work can be difficult.,13,As above - but in a good way!,4,3,1,3,2,60,10,10,2,50,1, ,99,1, , ,99, ,2, , ,5,6,7, ,9, ,Large attachments sent from multiple sources,8,5.1,10,5.4,9,1,4.4,5.5,5.8,6.1,6.2,4.8,3,4.2,3.5,4.2,6,4.9,5.5,6.5,6.9,2, , , ,Yes,1,0,Forum type communication where messages are nested with all participants able to view all correspondences,3,Attachments should not be fired around a link should suffice,7,Respect,6, ,2,3,99,4,1,1, ,99,0
A lot of students forget to check their e-mails.,13,You can inform many people with the same information.,1,1,1,1,2,30,30,25,2,98,2,just dont think of the time it takes to answer them all,3,1, , ,99, , , , , , , , , ,10, ,99, ,9.8,10,9,10, ,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2, , , ,yes definitely,1,0,just by checking their e-mails daily,5,no,99,"being able to communicate with each other, electronically or face to  face without feeling more or less important",2, ,2,4,88,3,2,1, ,99,0
I get too many e-mails which have nothing to do with me.  The senders appear to send blanket e-mails to everyone in their address book.  They need to be more selective about who to send to. As I work pert time there is a delay between me opening the e-mail in college on the intranet and responding.,3,"It is instant, and people can respond.<br/>The mail waits until I open it.  Senders can carry out an electronic procedure to see if I have read my mail and not rersponded.<br/>Management know if you have received a circular and deny receiving it!!",1,1,1,1,2,17,8,8,2,50,1,I hope the e-mail is rlevant,1,2,30,responding to irrelevant e-mails,2, , , , , ,6,7,8,9, ,People send e-mails without checking their spelling.   They do not check grammar.Too many people just sned an e-mail to everyone in the collegeg whether it is relevant or not,6,6.2,5,4,7,7.3,7.6,6,4.9,7,6.4,7.1,6.2,6.5,7.4,7.5,7.7,7.4,7.6,5.7,6.9,2, , , ,Yes because it is so easy to send,3,7,Users ned to think before sending out blanket e-mails to everyone,1,It odes assume everyone has access to e-mails at all times including at home and you want to respond from home,3,Being able to talk to colleagues face to face,2, ,2,4,21,6,1,4, ,99,0
None,99,Quick<br/>Easy to access at home,1,1,1,1,2,30,5,5,2,50,2, ,99,1, , ,99, , , , , , , , , ,10, ,99,1.7,1.9,2.7,2.2,9.2,1.2,9.5,1.4,1.9,9.4,5.9,1.9,4.7,5.5,5.7,5.1,1.8,4.7,3.9,4.4,2, , , ,yes,1,0, ,0, ,99, ,99, ,2,4,23,4,2,4, ,99,0
"It can be too casual and is often easy to misinterpret the tone of casual messages.<br/>Also very easy to send a quick response when angry or stressed, which can lead to saying things you wouldn't normally say in person.",11,It's quicker and easier than sending a letter through the mail (internal and external).<br/>It's also easier to consolidate all the information you need to convey and put into an e-mail than it is to do this over the phone. Also very handy to have the e-mails to refer back to if needed.,1,3,1,2,1,90,50,50,2,98,1,I try not to be ambiguous in tone and to explain my meaning fully.,5,1, ,I don't believe that I waste any time using e-mail at work. I don't use it for personal correspondance and I try to be quick but thorough when writing work e-mails.,99, , , , , , , , , ,10, ,99,5,10,8,10,5,5,9,7,8,9,5,10,10,10,8,5,10,8,10,10,2, , , ,Yes. It's a very effective form of communication when used properly.,3,5,Encourage training in the use of e-mail and systems.,2,Users not fully understanding how to use or how to get the best out of their e-mail program (ie. Outlook) is the biggest barrier that I have seen.,10,"Ability to communicate well with each other, both in person and remotely. An understanding of how the other person works, and taking this into account when dealing with them. Also, between staff and managers, feeling able to talk to managers about personal issues.",2, ,2,3,2,2,2,1, ,99,0
 ,99, ,99,1,1,1,2,20, , ,2,50,1, ,99,1, , ,99, ,2, , ,5,6,7,8,9, , ,99,10,8,10,5, ,6,10,10,10,5,5,10,10,5,10, ,8,10,10,10,2, , , ,I think it will increase.,1,0,Less junk and better targeting of group emails to only those concerned.,4, ,99, ,99, ,2,3,8,3,1,3, ,99,0
To impersonal and their usually sent in the heat of the moment without thought,11,Quick response times and you can reach all parties quickly,6,1,1,1,2,68,4,6,2,95,1,Do you need to send it.,1,1,40,Responding to emails that are only sent becuae the sender wants to cover their resons.,7,1,2,3,4,5,6,7,8,9, ,Savibf face to face content.,5,3.9,7.7,7.5,9,4.5,7.7,1.5,2.3,9.1,8.9,9,8.8,9,9.1,1.9,2.7,2.8,2.6,8.7,8.2,2, ,2, ,yes without doubt,1,0,Stop sending ineffective and using the enail system for messages that could be dealt with face to face (management),7,No,99,"Team work, trust and ownership of repsonibilities",8, ,2,4,21,5,1,3,Limited access and carefull monitoring,2,1
-One does not know when they are likely to get a response. it could be two weeks waiting for a response. <br/>-If the address is wrong then the message might never arrive to the intended recepient and there is no way of knowing if a recepient has received the message or not.If there is a deadline then one could miss the deadline.,6,"- One can send an email any time of the day.<br/>- It is more likely that I will get a response.<br/>- I get to contact or communicate with an individual directly.<br/>- Its free, so as a student I donot incur any costs.<br/>- It helps to store important or useful documents.<br/>-As a student it means I can get more support from my tutor because I can email homework and get it checked, more quickly.<br/>",4,1,3,2,2,29,3,5,2,98,1,"I try to be clear so that the recepient will understand me. I try to make the email as concise as possible. I try to format the stucture so that it is not boring or seem too long. For example, I add bullet points, indent and keep paragraphs short.",5,2,15, ,99, , , , , , , , ,9, , ,99,4.9,5,7,4,3,7,7,7,5,5, , , , , , , , , , , , , , , ,6,0, ,0, ,99, ,99, ,2,4,88,2,2,3, ,99,0
"It relies on the addressee reading it. The tone of emails can also be easily misunderstood, creating bad feeling where no offence was intended. Can be problems with email being hacked and spam messages being sent if dubious links are opened.",11,"It can be a quick, easy way to communicate information to a large group of people.",1,1,1,9,2,60,20, , ,50,1,careful with politeness and how it may be received,5,2,1,Some information is not relevant or useful,2, ,2, , , ,6, ,8, , ,Poorly written with spelling mistakes. One situation was an email that I found quite aggressive towards my colleague about a difficult situation.,6,5,9.5,9,9,3,3,7.5,3,4,7,8,2,7.9,9,3.2,2.7,5.1,4.1,6.3,5.1,2, , , ,Yes,1,0,Email etiquette lessons would be useful,2,"yes I only have access through most of the day to a webmail instead of full Outlook, so not all menus load properly, this makes emailing more frustrating",3,"politeness, friendly attitude within the message. Not to take any unintended meaning",4, ,2,3,5,5,2,2,"Ensure my messages are not abusive or likely to cause upset, not to contain anything offensive to others",8,1
Often relied upon as the sole means of requesting or transmitting information.<br/><br/>Email overload - tend to skim read and more important emails not given sufficient attention.<br/><br/>Area of slippage in written communication between what is meant and what is understood.,1,Disseminate information and requests - they can be very timesaving.<br/>Provide means of prioritising or logging actions that need to be taken.,1,2,1,2,2,60,20,20,2,98,1,Try to ensure clarity of expression to avoid giving offence,5,2,3,Reading block emails that do not concern you,2, , , , , ,6, ,8, , ,Poorly written email that was not clear whether we were to complete an activity or whether the sender planned to complete it and was just informing us of this.,6,6,8,9.3,9,7.2,2,9,8,9,9,9,9,9,9,8.1,9,9,9,9.1,9,2, , , ,Yes,1,0,All users to check emails regularly.,6,Volume of non-relevant emails.  Agreed forms of communication for building a working relationship with recipients you maynot have met face-to face.,4,Mutual respect and awareness that the other person respects your role and your work commitments.,6, ,2,3,4,4,2,1,Email etiquette.<br/><br/>Politeness forms.<br/><br/>Consideration of the effect on the recipient.,6,1
Lose the impact of body language & nuances.,9,"Quick, lots of people contacted at once.",1,1,3,1,2,15, ,12,2,98,1,only send when required,1,1, , ,99, , , , , ,6, ,8, , ,"I am not a tutor, so an all staff email that applies to teching staff does not apply to me",8, ,5,6, , , ,3.6, , , ,3.9,6.7,6.3,2.9,4,4.7,7,3.6,6.7,6.7,2, , , ,likely,1,0,Think about group emails more carefully,1, ,99,mutual respect and ease of relationship,6, ,2,3,99,5,2,3, ,99,0
Can be time consuming and there is too much temptation to access them from home.  This ruins your work life balance,13,"You can get your message out quickly, access more poeple and it saves on paper",1,3,1,6,2,119,10,10,2,50,1, ,99,1, , ,99,1,2, , ,5,6,7,8,9, ,A message comes from CD me (HoLS) and to HoS.  This is then sent to me (HoLS) by all 5 HoS and the DD resulting in me getting 8 e mails the same,9,10,10,10,10,4.9,5.5,10,4.9,10,10,10,10,10,10,5.3,7.1,6,6.1,10,4.7,2, , , ,"Yes, especially where the organisation ios spread over multiple sites",3,7,Think before sending on - consider the sent to list / recipients to avoid duplication,1,Lack of training for staff/students,10,Regular face to face meetings or telephone conversations.  Open and transparent communications,2, ,2,2,55,5,2,1,I think before I send mass e mails and always consider confidentiality and suitability of content,5,1
The message can be mis-understood and unless you clog your system with read-receipts you don't know if the message has been read.,11,The information can be stored.  You can send attachements and links.  You ca sned a message when you are thinking about it rather than waiting for someone to be available.,2,3,1,3,2,90,50,50,2,98,1,"I consider tone, wording and accessibility as they are important to the message ebing understood",5,2,20,"Re-wording emails to ensure that they are easliy understood.  Replying to emails that have been sent to the wrong person, informing them of this.",4,1,2, , ,5,6,7,8,9, ,Same message from many sources.  I study on a number of courses at the college and find that the same email is sent out by all tutors and I often get the same email 3 or 4 times.,9,2.3,4.5,10,3.4,8.3,1.6,10,10,2.8,10,4.6,2.9,4,3.6,3.7,10,10,10,10,10,2, , , ,Don't know- with the development of newer technology we may start using it less.,5,0,Teach people to only send email when thy are relevant to the receiver,1,no,99,"Polite, regardig each other's feelings and ensuring appropriate tone and content at all times.  respect for each other- even if you really don't like eath other, being able to work professionally.",2, ,2,2,55,3,2,2,We are not supposed to use emoticons or tas such as lol.,6,1
"The fact that you can never 'switch off'. I only work part time but find myself checking and replying to emails on my days off, and weekends. <br/><br/>Also, I find that there is no personal touch to emails - 90% of communication from management, including my direct line manager is via email.",13,Being able to communicate with people if you haven't had the opportunity to see them face to face. I always prefer to speak to someone face to face.,1,2,1,3,2,90,10,10,1,7,1,Yes I always consider the recipient in my tone and choise of words.,5,1, , ,99, , , ,4,5,6,7,8,9, ,Emails from management are often poorly written - no consideration to punctuation and grammar.<br/><br/>Multiple emails are received from many sources containing the same information.,6,8,10,10,10,10,5,10,8,10,10,9,10,10,10,8,7,10,8,10,10,2, , , ,Yes,1,0,Having set criteria for when email within the workplace should be used.,6, ,99,A relationship whereby there is open and honest communication. A relationship whereby people do not feel the need to 'hide' behind email.,2, ,2,4,15,2,2,3, ,99,0
less personal <br/><br/>spam mail,4,"ease of use, speed , abillity to add attachments, <br/>ability to use circulation lists",1,2,1,3,2,78,20,15,2,50,1,"tone of email , work loads",5,1, , ,99, ,2, , ,5,6,7, , , ,"e mail does not replace face to face contact ,",5,5.3,9.5,10,7.8,2.8,6.5,9.1,6.8,9.9,10,10,7.5,7.2,6.5,6.7,5.3,6.6,6.4,5.3,6.6,2, ,1, ,Yes,1,0,think about forwarding on,1,no,99, respect / trust/ shared understanding / common goals,6, ,2,2,55,4,2,1,Not to use  red or upper case,6,1
Missunderstandings. <br/>People not reading them properly which results in emails back and forward establishing purpose. <br/>People rely on it too much rather than talking face to face. <br/>,11,Quick<br/>Easy <br/>Useful for arranging meetings<br/>Documents to many people <br/>Instant <br/>Useful for difficlt to reach people <br/>Can send them anytime and people can read in own time.,1,2,3,6,2,45,15,15,2,50,1, ,99,2,15,Filtering through junk/unnecessary emails <br/>Picking out main points from waffle <br/>,2, ,2, , ,5,6,7,8,9, ,"Sent by the sender to avoid face to face contact - this needs to be addressed as many people can then talk to each other and it can cause upset or rock the boat.  People add their own slant on it and emails of this kind are open to misinterpretation. Problems of this kind can be solved by a conversation, but emails often result in many back and forward wasting time.",5,8,10,10,5,7,9,10,8,10,9,10,10,9,9,10,10,9,8,10,8,2, ,2, ,Yes as more offices become virtual and remote.  As more people have smart phones it makes them more accessable.,3,7,Yes - educate people better.,2,Spelling/language barriers,7,Able to talk face-to-face (in addition to email)<br/>Approachable <br/>Reliable responses <br/>Trustworthy <br/>,2, ,8,4,88,3,2,1, ,99,0
Diffiuclt to keep on top,1,"instant, accessible from mobile devices and via web",1,2,1,5,2,90, ,10,1,2,1, ,99,1,60,pointless emails. clearing them out.,2, ,2,3, ,5, ,7,8, , , ,99,6,10,10,10,3,10,10,10,10,10,10,9.9,9.9,10,10,1.9,10,7.8,7.2,10,2, , , ,No,2,0,aggregation of email and messaging and communication accounts and services.,3, ,99, ,99, ,2,2,55,3,1,1, ,99,0
They are impersonal and not as effective as speaking to a person face to face,4,They are quick and easy to send,1,1,1,1,2,10,10,12,2,7,1,i understand that people are as busy as me if not more so and try to keep email direct and to the point.,1,1, , ,99, , , , , , , ,8, , ,i find that some staff will just email out on the global list and not take the time to chose individuals,8,4,4,6.8,4.2,2,5,3.2,4.5,7,7,4,7,6.6,3.1,3.6,4,4,5,7,7,2, , , ,"Yes, as work loads continue to grow, time constrictions will increase meaning less face to face interaction and more emails.",3,4,Training to make staff more aware and streamline when constructing emails (more direct and to the point),2,No,99,"To be polite, clear and understanding of work loads and to utilise resource fairly and in a way that is not demaning on a particular individual.",6, ,2,4,31,2,1,2, ,99,0
Too many communications to deal with properly.<br/>Junk Mail,1,"Often instant contact with the addressee.<br/>Efficient method of sending documents and messages.<br/>Formal and auditable communication. It forms its own ""paper-trail"".<br/>Can make attachments; documents and photos.<br/>I can flag activities to send reminders to me.<br/>Messages can be saved and catalogued.",1,3,1,3,2,30,20,10,2,50,1, ,99,2,30, ,99, , , , , , , , , ,10, ,99,5,5,5,5,5,5,8,8,10,10,5,5,5,5,5,5,5,5,10,10,2, , , ,Maybe but Facebook has taken over much of the social emails.,3,3,Set aside definite times to deal with emails.,5,Sometimes the attachments take a lot of time.,6,Respect and polite communication at all times. Good communication requires reporting non-action as well as action.<br/>Use brief messages and not essay type emails.,2, ,19,4,25,5,2,2,I understand that my emails should not bring the College into disrepute due to content or language.,8,1
Lack of face to face contact. Open to misinterpretation.<br/>Naunces lost.,4,Communication sent and recorded. Don't have to find someone. Possible to communicate your message when person is unavailable.<br/>Trail so can monitor messages.,2,4,1,5,2,120, , ,2,50,1,I always word my mails carefully as if I was actually talking to an individual.,5,2,15,In responding to unecessary mails from people.<br/>In opening mail that did not ned to come to me.<br/>Repeated information,2, ,2, , ,5,6,7,8,9, ,A number of aggressive  e mails in a range of situations. Some that I have then spent quite a substantial amount of time thinking of how to deal with them - only to find in some cases they weren't meant to be as aggressive as they sounded.,2, ,10, ,10, , ,8.2, ,8.7,10, ,10, ,10,10,10,10,10,10,10,2, , , ,Yes,1,0,Yes,0,No,99,Mutual respect.<br/>Clear communication,6, ,4,2,55,4,2,2,Delete and that potentiall could have inappropriate content.<br/>Report junk mail,6,1
"Email is very easy, too easy for people to delegate tasks.  Also, I feel that sometimes emails can be sent in haste or can be misinterpreted.",1,Email is an excellent tool for communication and sending (unsecurely) files and documents.,5,2,1,7,2,60,10,30,1,50,1,If I am requesting something I usually state when I need the request fulfilled.,1,2,15,I get emails that are not meant for me<br/>I am copied into emails that I don't necessarily need to be<br/>I often receive email asking me to ask someone else to do something (!),2, , , , ,5,6,7,8,9, ,I'm often copied into emails that do not require my actions or involvement,8,7.7,8.5,9,6,5,4,9.5,7.5,8.5,6.5,8.2,9.5,3.9,8,6.4,5,7.5,8,9.7,8,2, , , ,Yes,1,0,"Yes, but it will require lots of training and lots of monitoring.",6,No,99,"Openness, respect, good manners and an understanding of roles and responsibilities.",6, ,2,3,1,4,1,1,Very little.,99,0
Forced to deal with them on an immediate basis. Sent to everyone and not differentiated,12,Permanant record of communications,2,2,1,2,2,40,8,6,1,5,1,Try to target specific respondents. Also consider reply so not get into a back and fore response situation,1,1, , ,99, , , , , ,6,7,8,9, ,Reiteration of actions to be taken,8,5.1,8.2,8,9,2.4,9.2,9.3,3,9.4,9.3,9.1,9.3,9.2,9,7.9,8.6,8.4,2,8.1,9.3,2, , , ,YES,1,0,Targetting and not use as a last minute instruction or request for information which is availabel elsewhere.,1,All recorded by system.,4, ,99, ,4,4,15,5,1,1,Care to only use for work matters,4,1
Reduction in personal communication,4,Speed and the evidence that you have done something,2,2,1,3,2,90,20,20,2,98,1,"How does the message come across , could there be any confusion",5,2,5,Reading learners work on line instaed of printing,10,1,2, , ,5,6,7,8,9, ,Information about management issues that are only loosly connected to me.<br/>Request for information about particular students not on my course. You need to read whole e mail before you find the list<br/>AWFUL spelling,8,2.8,1,1,2,1, ,1.8,2.9,10,3.8,5.6,5.1,8.5,7.6,10,4.6, , ,10, ,2, ,2, ,"Most definately, its efficient when used properly",3,5,Selectrecipeint for particular information. It may be easier to block a whole staff room but it is inefficient and can be stressful if you have done what is asked,1,Colleagues not check ing their in boxes,7,"Open, listening, supportive and empathetic of individual needs,  treating people as individuals",6, ,2,4,23,5,2,2,Does not have any impact,99,0
difficult to build rapport<br/>tends to be less formal<br/>,4,speed<br/>cost<br/>saved audit trail of comments,2,3,1,3,2,173,20,20,1,5,1,"fomailty, level of detail",5,2,3,housekeeping of folders<br/>inc storage space<br/>deleting junk mail,9, , , , ,5,6,7,8,9, ,"No spell check set up & not re-read prior to sending. Resulted in e-mails of incorrect & poorly written content, which provide a very bad image of an educational institution.",6,7.3,2,9.3,9.1,3.8,3.3,9.6,3.7,9.6,9.1,4,1.3,9.5,9.3,8.8,5.5,8.6,5.2,9.2,7.4,2, , , ,yes,1,0,greater awareness of tools & options,3,changes to systems,3,rapport & respect,6, ,2,3,14,4,2,2,content & usage,6,1
Communication is lost in translation and some may interpret an answer in a way that was not intended.,11,"quick, easy, simple if you cannot find the individual you want to talk to, allows you to keep a paper trail of communication, receipts on whether email was received or read.",2,2,1,3,2,60,25,30,2,98,1,too many emails and the individual will become overloaded and stressed,1,1, , ,99,1,2,3,4, ,6,7, , , ,An individual had messed up with a teaching session and then continually tried to blame myself and a number of colleagues saying that they had not received instructions or help. <br/>What they didnt realise was that i had a paper trail due to the emails and could trace every message ever sent and received.,3,2.7,9.7,8.4,7.1,10,3,7.6,8.5,10,8,6.1,10,7.4,6.8,5.1,9.9,6.6,4.5,8.6,6.9,2, , , ,"Yes, as teachers are expected to deliver more and the paperwork increases we will need systems that are easy to use to communicate to those around us.",3,4,"I think the more positive we are about technology and the way we use it affects the way in which we communicate with them. If more people reliably used the technology then it would be a more efficient manner. <br/>However, saying that there is nothing like face to face talking and communicating in a social environment.",3, ,99,"If an individual knows you then they can interpret what your write correctly. However, if they do not or if they dislike you then they may interpret what is written wrong accidentally.",2, ,12,4,17,2,2,3, ,99,0
Emails have no inflection so can be read as aggressive or taken the wrong way.,11,Quick and you get to keep a record of what was sent.,1,3,1,6,2,60,20,20,2,50,2, ,99,2,15,esponse and thinking time,4, , , , ,5,6,7,8,9, ,Same message sent from different sources,9,7,10,10,10,6,1.5,6,8,10,10,6.9,10,10,10,4.4,7.6,8,7.4,10,10,2, , , ,yes,1,0,onle send when necessary.,4,multiple adressees i.e. people with same name not differentiated effectively.,3,Friendly respect for each other.,4, ,2,4,17,4,2,3,I try to not break any general rules,99,0
Impersonal. Message can be taken the wrong way. You cannot get across emotions on email.,11,Quick. Effective way of giving details rather than perople having to take notes. You have a record of what you are asking or telling someone to do.,1,4,1,5,2,180,20,20,1,5,1,Consider the tone and the instruction to ensure it can be understood correctly,5,2,10,Responding to emails that other staff really did not need to send about trivial problems/queries which they could have resolved themselves. Reading information that is not relevant to me.,2, ,2, ,4,5,6,7,8, , ,Someone sending me an email about me that was meant to someone else. Insulting material,1,5,10,10,10,10,4,10,10,10,6.4,6.1,10,10,10,4.2,5.7,10,10,10,10,2, , , ,"Yes, more people are working remotely or from home and have become to rely on it.",3,7,"Conside if email is most appropriate, could you communicate face to face. Are all emails relevant, could they be reduced.",7,NO,99,Being respectful to each other. Treating people equally and fairly at all levels,6, ,13,2,55,3,2,2,Make you aware of what is appropriate to send especially when sending externally. Make you aware of using correct language and tone.,6,1
Dificult to identify tone and urgency.,9,"The best way of communicating to ensure written record, clarity, specifics, something to refer back to and a timely exchange of ideas, requirements etc",2,9,3,9,1,180,50,60,2,50,1, ,99,2,5,"Looking back through archive before sending, firefighting less important mails before getting to the ones needed.",8,1,2, , ,5,6,7,8,9, ,"Mail issued glbally or to a group in which I'm included. A colleague then sees it but doesn't note that I am copied in and shares it with me, team manager shares it with whole team again.",8,5,5,10,10,5,5,5,5,10,8,5,5,10,10,10,5,5,5,10,5,2, , , ,Yes,1,0,A compulsory first part of the day to deal with messages in order to be responsive and remote access for everyone to allow them to keep on top of email while on the move so the inbox does not become so full it's overwhelming.,5,It can be a problem if inbox limits are set too low.,6,"Being responsive very quickly, an honest exchange and a mutual understanding.",2, ,9,2,55,3,2,2, ,99,0
Emails can sometimes be misunderstood by the recipient. The 'tone' of the email can sometimes be taken the wrong way.<br/>Can sometimes send emails in haste without reading thoroughly or checking beforehand.,11,"Have written proof of conversations, evidence for audit trails etc. Quick, convenient. Can be accessed from almost anywhere.",2,7,1,7,1,180, , ,2,50,1, ,99,1, , ,99, , , , ,5, ,7,8, , ,general 'group' emails.,8,10,10,10,10,10,10,10,10,10,10,9.8,10,10,10,10,10,10,10,10,9.8,2, , , ,yes I believe it will continue to grow,3,2, ,0, ,99,"open, able to freely communicate and discuss issues that arise.",2, ,2,3,2,3,2,1, ,99,0
